id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe
1,51,1,3,7,1,2,2,0,8,1,4621,1,112,2,1,1.4,90.81,-35.53,0.69,5219.74,0.0
2,50,8,2,5,0,2,1,0,5,1,4715,1,412,2,0,-1.8,96.33,-40.58,4.05,4974.79,1.0
3,48,2,3,4,1,1,1,0,4,3,171,0,1027,1,1,-1.8,96.33,-44.74,1.5,5022.61,0.0
4,26,3,1,5,2,2,2,0,8,5,359,26,998,0,0,1.4,97.08,-35.55,5.11,5222.87,1.0
5,45,1,1,6,1,1,1,0,11,2,3178,1,240,4,2,-3.4,89.82,-33.83,1.17,4884.7,0.0
6,47,5,2,0,1,1,1,0,7,4,817,1,10,3,0,1.4,94.58,-30.37,3.55,5257.02,0.0
7,33,10,2,5,1,2,1,0,8,1,76,2,1009,0,0,1.4,94.93,-35.12,4.74,5018.97,0.0
8,40,10,2,4,2,1,0,0,4,1,4391,36,934,4,2,1.4,94.44,-33.52,4.61,5452.31,0.0
9,47,8,2,5,1,1,1,0,8,4,161,0,959,0,0,1.4,95.4,-37.65,5.09,5358.8,0.0
10,53,4,2,0,1,1,1,0,8,5,2437,0,594,6,2,-2.9,93.17,-28.27,2.3,4988.07,1.0
11,37,7,2,6,1,1,1,1,6,1,2746,1,703,5,2,-1.7,92.83,-35.22,1.63,5333.01,1.0
12,55,4,2,6,1,1,1,0,7,3,384,1,980,0,0,1.4,91.85,-41.03,4.95,5254.24,0.0
13,36,10,1,7,1,2,2,0,8,4,135,0,1003,0,0,1.4,97.27,-36.6,4.88,5296.06,0.0
14,30,2,1,5,1,2,1,0,5,4,222,1,957,0,0,-1.8,92.7,-46.06,1.22,4900.23,0.0
15,52,4,3,2,1,2,1,0,7,1,50,4,1007,0,0,1.4,92.88,-41.84,4.79,4992.83,0.0
16,26,7,1,6,1,0,0,0,8,1,126,2,1025,1,1,-2.9,89.43,-30.2,0.88,5162.49,0.0
17,36,2,2,4,0,2,1,0,7,3,590,2,486,5,2,1.4,96.7,-31.39,1.21,5136.16,0.0
18,36,2,2,4,1,1,1,1,6,5,15,3,969,0,0,1.4,90.49,-41.08,4.88,5416.31,0.0
19,50,2,3,4,1,2,1,0,7,3,4526,0,124,4,0,1.4,97.27,-44.11,1.27,4915.69,0.0
20,27,1,1,6,1,2,1,0,5,3,45,2,744,0,0,-1.8,90.03,-29.23,1.17,5182.53,0.0
21,50,11,1,2,1,2,1,0,5,5,167,1,982,0,0,-1.8,93.07,-47.21,1.31,4920.63,0.0
22,48,8,2,5,0,2,1,1,5,4,232,2,966,0,0,1.1,96.15,-37.81,4.85,5263.67,0.0
23,72,6,2,4,1,2,1,0,10,4,4314,1,150,3,0,-3.4,89.02,-47.53,4.62,4987.11,1.0
24,67,10,2,2,0,1,2,1,12,1,164,20,957,0,0,-3.4,92.98,-27.57,0.75,4962.3,1.0
25,47,6,2,2,0,1,1,1,6,3,144,8,1024,0,0,1.4,96.16,-40.12,5.05,5447.68,0.0
26,46,5,2,2,0,1,2,1,5,5,261,3,1040,0,0,1.1,98.5,-35.96,5.04,5061.22,0.0
27,34,1,2,6,1,2,1,1,5,4,391,4,1012,0,0,1.1,91.83,-37.52,4.68,5279.24,0.0
28,38,10,3,6,1,1,1,0,7,1,2187,2,285,4,1,1.4,96.65,-33.5,3.44,5215.03,0.0
29,50,7,3,6,1,2,1,0,11,4,748,1,995,1,1,-0.1,91.05,-40.27,4.03,5232.17,0.0
30,35,3,1,4,1,1,1,0,11,3,5066,1,864,0,1,-0.1,94.95,-34.12,2.59,5085.17,0.0
31,98,2,2,4,1,2,2,0,12,1,5119,49,21,6,0,1.4,92.91,-46.43,2.75,5276.92,0.0
32,61,4,0,2,2,2,2,1,7,4,227,34,968,0,0,1.4,89.69,-44.49,4.74,5149.67,1.0
33,47,3,2,6,1,2,1,1,5,5,148,1,991,0,0,1.1,97.84,-36.32,4.74,5357.11,0.0
34,27,2,1,5,1,2,1,1,6,1,3187,2,451,1,1,1.4,94.74,-40.91,4.66,5285.26,0.0
35,66,1,3,6,1,2,1,0,8,3,216,3,5,2,2,-1.7,92.05,-39.06,0.91,5081.44,1.0
36,40,3,1,5,1,2,1,1,7,4,68,0,998,0,0,1.4,94.1,-42.87,5.0,5170.59,0.0
37,45,4,2,2,0,2,1,0,8,2,2212,0,723,5,1,1.4,93.18,-43.11,3.35,5221.69,0.0
38,52,4,2,6,1,2,1,1,5,4,63,1,1011,0,0,1.1,90.79,-37.96,4.75,5434.97,0.0
39,71,6,2,7,1,1,2,0,10,4,2028,0,36,3,0,-3.4,96.65,-40.58,0.78,4811.83,0.0
40,32,10,2,7,1,2,1,0,7,4,260,1,1016,0,0,1.4,91.94,-43.04,4.85,5113.08,1.0
41,30,2,2,7,1,1,1,1,5,3,33,8,1020,0,0,-1.8,94.75,-48.14,1.32,5226.57,0.0
42,56,4,2,3,0,2,1,1,5,2,119,1,1045,0,0,1.1,93.71,-35.59,4.7,5320.77,0.0
43,30,7,1,6,1,2,1,0,7,2,193,1,953,0,0,-2.9,92.56,-33.86,1.01,4903.6,0.0
44,48,1,2,6,1,1,1,1,5,5,73,9,1034,0,0,1.1,98.03,-37.34,5.02,5102.75,0.0
45,57,2,2,7,0,0,0,1,5,2,4454,4,476,1,1,1.1,93.98,-47.55,2.28,4945.14,0.0
46,31,8,2,5,1,1,1,0,7,1,2814,3,160,5,2,1.4,95.02,-43.5,3.42,4873.89,0.0
47,35,8,1,5,1,1,1,0,7,2,186,0,1048,0,0,1.4,89.5,-42.65,5.01,5045.11,0.0
48,45,2,1,5,0,1,1,1,6,1,69,0,1015,0,0,1.4,92.38,-40.0,4.78,5405.85,0.0
49,37,8,2,5,0,1,1,0,7,3,81,2,999,0,0,1.4,94.57,-40.94,4.93,5045.11,0.0
50,54,2,2,4,0,2,1,0,7,5,570,0,973,0,0,1.4,89.78,-41.46,4.99,5034.66,0.0
51,46,10,2,6,1,2,1,0,11,3,1454,0,767,1,0,-0.1,95.4,-29.45,2.6,5058.19,0.0
52,25,2,2,4,1,2,2,1,5,2,274,1,975,0,0,1.1,97.56,-37.96,4.73,5216.95,0.0
53,29,7,2,3,0,1,2,0,9,4,353,5,951,0,0,1.1,92.86,-34.94,5.06,5263.67,1.0
54,45,2,3,3,1,0,0,1,6,4,569,9,1037,3,1,1.4,89.09,-41.84,3.4,4964.33,0.0
55,41,10,1,6,1,2,2,0,11,5,41,0,974,0,0,-0.1,93.47,-40.32,4.03,4982.77,0.0
56,43,2,2,2,0,2,1,1,5,3,4684,2,268,1,0,1.1,90.76,-36.42,3.27,5045.03,0.0
57,36,10,1,6,1,1,1,1,6,2,197,1,995,0,0,1.4,93.04,-43.38,5.15,5426.76,0.0
58,28,5,1,6,1,1,1,1,6,2,349,1,955,0,0,1.4,93.8,-42.42,4.65,5076.48,0.0
59,30,2,2,6,1,1,1,1,5,4,563,12,986,0,0,1.1,96.15,-37.49,4.9,4978.16,0.0
60,56,6,2,5,1,2,1,0,8,5,1705,9,528,5,2,1.4,95.71,-31.26,3.17,5266.82,0.0
61,32,7,2,6,1,1,1,0,5,5,738,1,966,1,1,-1.8,94.1,-47.77,1.3,5211.28,1.0
62,50,5,2,3,1,1,1,0,11,1,211,1,1027,1,1,-3.4,95.7,-29.85,0.69,4821.81,1.0
63,51,2,2,4,0,2,1,0,11,3,54,0,967,1,1,-0.1,94.03,-43.59,4.1,4961.98,0.0
64,48,10,3,7,1,2,1,0,7,1,261,2,15,1,2,-1.7,95.81,-39.13,0.89,5121.38,1.0
65,55,10,2,5,1,2,1,0,7,2,188,3,959,0,0,1.4,96.54,-40.73,4.77,5489.5,0.0
66,35,5,1,6,1,1,2,0,11,1,207,0,960,0,0,-0.1,94.5,-42.2,4.27,5071.1,0.0
67,38,10,1,6,1,2,2,0,6,4,1891,1,562,6,1,-1.7,96.36,-41.76,3.6,5158.59,0.0
68,72,9,1,5,1,2,0,0,6,2,359,8,1005,0,0,1.4,96.17,-43.46,4.81,5228.1,1.0
69,44,3,2,5,1,2,1,0,5,5,8,9,973,0,0,-1.8,91.4,-46.29,1.2,5017.51,0.0
70,31,10,2,7,1,1,1,1,6,3,697,0,288,3,1,1.4,89.98,-36.86,4.49,5228.48,0.0
71,54,8,2,5,0,2,1,0,7,1,35,33,955,0,0,1.4,90.34,-44.45,5.13,5066.02,0.0
72,38,2,1,4,1,2,1,1,5,5,1090,1,562,5,0,1.1,93.58,-35.22,1.18,4948.98,0.0
73,36,2,2,4,1,2,1,0,11,4,3669,3,617,5,1,-0.1,89.61,-44.4,1.33,4733.21,0.0
74,47,4,2,2,1,1,1,0,8,1,69,2,1047,0,0,1.4,91.85,-37.61,4.75,5400.62,0.0
75,40,1,2,5,1,1,2,1,5,1,16,0,1042,0,0,1.1,90.51,-37.52,4.79,5071.6,0.0
76,35,2,2,7,1,2,2,1,5,4,2875,1,303,2,2,1.1,94.65,-35.31,2.27,5177.42,0.0
77,31,1,1,6,1,2,1,0,4,4,3691,0,635,4,1,-1.8,93.28,-43.76,3.48,5101.74,0.0
78,61,5,2,6,1,1,1,0,8,5,3978,3,655,5,0,1.4,91.54,-29.75,4.31,5182.08,0.0
79,28,1,1,5,1,2,1,1,4,1,3979,2,710,1,0,-1.8,96.25,-43.29,3.89,4919.69,0.0
80,30,1,1,6,1,2,1,0,8,3,2627,1,488,6,1,1.4,94.09,-45.31,0.76,4979.47,0.0
81,36,5,2,6,1,1,2,0,5,2,244,1,1011,0,0,-1.8,94.65,-46.66,1.4,5185.78,0.0
82,31,2,2,5,1,1,1,0,4,1,197,0,1020,0,0,-1.8,93.54,-45.35,1.47,5267.37,0.0
83,41,10,2,6,0,1,1,1,5,3,1034,1,342,5,2,1.1,89.79,-47.29,4.81,5001.03,0.0
84,90,5,2,3,1,0,1,0,4,5,354,19,1033,0,0,1.4,91.85,-43.25,4.98,5018.97,0.0
85,35,1,2,5,1,2,2,0,4,5,340,0,1019,0,0,-1.8,95.49,-46.11,1.4,4992.01,0.0
86,40,10,1,7,1,2,1,0,11,3,186,0,1006,1,1,-0.1,95.71,-40.69,4.28,5320.49,0.0
87,27,10,1,6,1,1,1,0,8,3,99,1,996,0,0,1.4,92.5,-37.21,4.93,5060.8,0.0
88,39,8,2,5,1,2,2,0,5,2,205,0,1004,0,0,-1.8,95.12,-44.21,1.33,5195.98,0.0
89,48,11,2,2,0,2,1,0,4,5,71,0,994,0,0,-1.8,88.88,-47.99,1.38,5226.57,0.0
90,27,5,0,2,1,1,0,1,7,3,4439,4,609,3,1,-1.8,94.33,-47.93,0.95,5260.95,0.0
91,29,5,1,5,1,1,1,0,11,2,74,0,1008,0,0,-0.1,95.62,-42.75,4.06,5029.53,0.0
92,95,1,2,3,2,0,1,1,12,1,3238,23,838,1,2,-1.8,91.98,-39.67,1.69,5006.59,0.0
93,23,9,1,0,1,2,1,0,8,5,1422,1,113,1,2,-2.9,93.99,-38.01,2.52,4997.93,1.0
94,45,5,2,6,1,1,2,1,5,3,101,5,974,0,0,1.1,93.52,-36.76,4.66,5253.29,0.0
95,59,6,2,5,1,2,1,0,7,5,1514,16,1040,0,0,1.4,96.17,-40.86,5.06,5228.1,1.0
96,38,5,2,6,1,1,2,0,5,4,3596,1,762,2,1,-1.8,94.41,-39.19,2.67,4716.26,0.0
97,36,10,2,7,1,1,2,0,7,1,304,2,915,5,1,1.4,93.21,-50.37,4.25,4992.48,0.0
98,24,1,1,5,1,2,1,0,4,3,434,1,1016,0,0,-1.8,91.67,-45.31,1.34,5144.99,1.0
99,32,7,2,6,1,1,1,0,5,5,190,0,960,0,0,-1.8,97.53,-44.62,1.34,5144.99,0.0
100,86,11,1,1,1,1,2,1,7,2,113,11,970,0,0,1.4,91.38,-42.01,4.83,5311.74,1.0
101,53,2,2,5,1,1,1,1,6,1,4090,1,263,2,1,1.4,91.84,-30.66,3.32,4985.58,0.0
102,28,8,1,5,1,2,2,1,5,2,192,1,866,5,2,1.1,90.26,-37.44,4.93,4753.54,0.0
103,32,1,2,6,1,1,1,0,5,4,358,2,1009,0,0,-1.8,89.54,-47.03,1.25,5139.89,0.0
104,98,6,1,2,1,0,2,0,12,2,61,23,1008,0,0,-0.1,89.19,-42.92,4.02,5252.95,0.0
105,24,10,1,6,1,1,1,0,7,5,2012,2,109,6,1,-1.7,93.42,-51.83,0.65,4796.11,0.0
106,95,1,1,6,2,0,1,0,6,4,162,15,1039,0,0,-1.8,92.42,-48.51,1.32,5333.65,1.0
107,69,4,0,4,0,0,2,1,4,3,4187,12,575,2,2,1.4,96.74,-32.06,1.24,5194.27,0.0
108,44,11,2,2,1,2,2,1,6,5,243,1,857,3,2,1.4,97.43,-47.55,1.21,5045.53,0.0
109,45,2,3,3,0,1,1,0,4,3,3783,5,241,2,0,-1.8,97.89,-36.11,2.07,5267.08,0.0
110,41,10,2,7,1,1,1,0,8,2,180,1,1021,0,0,1.4,90.73,-36.06,5.1,5463.36,0.0
111,44,5,2,6,1,2,1,0,4,4,137,1,996,0,0,-1.8,94.28,-47.99,1.4,4997.11,0.0
112,37,1,1,6,1,2,1,0,7,4,430,6,510,1,2,1.4,92.19,-38.25,4.03,5401.55,0.0
113,28,2,2,4,0,1,1,1,6,5,335,1,1027,0,0,1.4,97.67,-43.47,4.97,5348.34,0.0
114,41,2,1,4,1,1,1,1,7,4,1164,3,931,6,2,1.4,94.06,-48.66,1.7,5145.38,0.0
115,30,1,1,5,1,2,1,0,8,2,195,1,1036,0,0,1.4,92.88,-35.73,4.8,5296.06,0.0
116,27,8,1,5,1,2,1,0,5,5,84,4,988,0,0,-1.8,97.35,-45.92,1.35,4976.72,0.0
117,37,2,2,3,0,1,1,0,7,2,62,3,968,0,0,1.4,90.25,-41.8,4.75,5437.22,0.0
118,39,2,2,3,0,0,0,1,6,1,137,2,1024,0,0,1.4,92.1,-42.13,4.98,5092.16,0.0
119,33,11,2,5,1,2,1,0,11,4,586,1,1046,0,0,-0.1,89.47,-39.98,4.16,5024.33,1.0
120,26,2,1,3,0,1,1,0,7,2,187,4,976,0,0,1.4,94.48,-44.45,4.88,5045.11,0.0
